ID,Module,QuyTacKinhDoanh,LiDo/BoiCanh,Nguon
BR-001,App/Startup,"Nạp license Syncfusion từ appsettings.json. Nếu thiếu, hiển thị lỗi nhưng vẫn tiếp tục khởi động.",Đảm bảo license thành phần bên thứ ba, giữ ứng dụng khởi động ổn định,App.xaml.cs
BR-002,App/Startup,"Ghi Trace log vào logsTime/app_yyyyMMdd.log và tự động flush.",Hỗ trợ chẩn đoán ngoại tuyến, không làm gián đoạn khởi động,App.xaml.cs
BR-003,App/DI,"Sử dụng Microsoft.Extensions.Hosting cho DI; đăng ký repository, service, view model, thuật toán theo scoped/transient/singleton đã định.",Quản lý phụ thuộc nhất quán và dễ kiểm thử,App.xaml.cs
BR-004,Database,"Tệp SQLite đặt tại AppData/app.db (tương đối root dự án); tự tạo thư mục AppData nếu thiếu.",Lưu trữ cục bộ, không cần máy chủ DB,Data/DataContext.cs
BR-005,Database,"OnDelete=Restrict cho các quan hệ: LecturerSubject→Subject, LecturerSubject→Lecturer, LecturerRequest→Lecturer, CurriculumSubject→Subject, CurriculumSubject→Curriculum.",Tránh xóa dây chuyền làm mất dữ liệu quan trọng,Data/DataContext.cs
BR-006,Database Index,"Chỉ mục (không unique) trên CurriculumSubject (CurriculumCode, SubjectCode) tên IX_CurriculumCode_SubjectCode.",Tối ưu tra cứu theo chương trình & môn,Data/DataContext.cs
BR-007,Database Index,"Chỉ mục (không unique) trên GroupClass (CurriculumCode) tên IX_CurriculumCode.",Tăng tốc lọc theo chương trình,Data/DataContext.cs
BR-008,Database Index,"Chỉ mục (không unique) trên LecturerSubject (LecturerId, SubjectCode) tên IX_LecturerId_SubjectCode.",Tối ưu tra cứu giảng viên–môn,Data/DataContext.cs
BR-009,Database Index,"Chỉ mục (không unique) trên Room (RoomName) tên IX_RoomName.",Tăng tốc tìm phòng theo tên,Data/DataContext.cs
BR-010,Data Reset,"Chức năng 'Xóa toàn bộ dữ liệu' thay thế DB người dùng tại %LOCALAPPDATA%/SchedulerApp/app.db bằng AppData/app.db của dự án.",Phục hồi nhanh dữ liệu gốc,ViewModel/CreateScheduleViewModel.cs
BR-011,Schedule Export,"Xuất Excel với cột: ScheduleId, GroupName, SubjectCode, Date, Slot, RoomNo, SessionNo, Lecturer, SlotTypeCode, StatusSlot, TypeSlot.",Chuẩn hóa layout báo cáo,ServiceRefactor/ScheduleServices/ScheduleServices.cs
BR-012,Schedule Create,"AddScheduleAsync chèn danh sách lịch trong một transaction và báo tiến độ (0–100%).",Ghi hàng loạt an toàn với phản hồi UI,ServiceRefactor/ScheduleServices/ScheduleServices.cs
BR-013,Schedule Delete,"DeleteAllAsync xóa từng lịch, sau đó reset identity; toàn bộ trong transaction và có tiến độ.",Đảm bảo toàn vẹn dữ liệu và phản hồi người dùng,ServiceRefactor/ScheduleServices/ScheduleServices.cs
BR-014,Schedule Delete,"DeleteScheduleAsync xóa một lịch và reset identity trong cùng transaction.",Duy trì tính nhất quán dãy identity,ServiceRefactor/ScheduleServices/ScheduleServices.cs
BR-015,Schedule Update,"UpdateScheduleAsync tải theo id, cập nhật mọi trường và commit trong transaction.",Lưu chính xác thay đổi chỉnh sửa,ServiceRefactor/ScheduleServices/ScheduleServices.cs
BR-016,UI Filter Modes,"Chế độ hiển thị: CLASS, ROOM, LECTURER; lọc lịch theo tuần đã chọn và thực thể tương ứng.",Trải nghiệm xem TKB theo ngữ cảnh,ViewModel/CreateScheduleViewModel.cs
BR-017,UI Week Range,"Danh sách tuần cho năm đã chọn dạng 'dd/MM - dd/MM'; tuần tính từ Thứ Hai đến Chủ Nhật.",Điều hướng theo tuần nhất quán,ViewModel/CreateScheduleViewModel.cs
BR-018,Xung đột phòng,"Kiểm tra xung đột phòng chỉ khi StatusSlot == 'OFF': cùng RoomId, cùng Date, cùng SlotTime là không hợp lệ.",Ngăn trùng phòng lớp OFF,ViewModel/CreateScheduleViewModel.cs
BR-019,Xung đột giảng viên,"Một giảng viên không thể dạy hai lịch ở cùng Date và SlotTime (mọi StatusSlot).",Ngăn trùng lịch giảng viên,ViewModel/CreateScheduleViewModel.cs
BR-020,Tạo slot – bắt buộc,"Khi tạo slot phải có: RoomName, PartOfDay, SlotTime, Date, Major, SubjectCode, GroupName, LecturerId.",Đảm bảo đầy đủ dữ liệu,ViewModel/CreateScheduleViewModel.cs
BR-021,Sửa slot – kiểm tra,"Trước khi lưu: kiểm tra trùng phòng (nếu OFF) và trùng giảng viên tại Date/SlotTime đích.",Nhất quán khi cập nhật,ViewModel/CreateScheduleViewModel.cs
BR-022,Kéo–thả,"Chỉ cho phép di chuyển/hoán đổi khi không có xung đột phòng/giảng viên; hiển thị xác nhận khi hoán đổi với slot khác.",Tương tác an toàn,ViewModel/CreateScheduleViewModel.cs
BR-023,Giờ học (NewSlot),"Thời lượng 135 phút; nghỉ 60 phút (áp dụng từ slot ≥3 hoặc ≥4 theo logic); giờ bắt đầu ngày = 07:00.",Hiển thị khung giờ nhất quán,ViewModel/CreateScheduleViewModel.cs
BR-024,Giờ học (OldSlot),"Thời lượng 90 phút; nghỉ 30 phút; giờ bắt đầu ngày = 07:00.",Tương thích khung giờ cũ,ViewModel/CreateScheduleViewModel.cs
BR-025,Chuẩn bị dữ liệu thuật toán,"Tải song song Lecturers, Rooms, GroupNames, LecturerSubjects, CurriculumSubjects; tiền xử lý Lookup/Dictionary cho truy cập O(1).",Tối ưu hiệu năng,Algorithm/Version2CreateSchedule.cs
BR-026,Điều kiện tiền đề thuật toán,"Nếu thiếu Rooms/GroupNames/CurriculumSubjects thì trả danh sách lịch rỗng và ghi cảnh báo vào log.",Sinh lịch an toàn khi thiếu dữ liệu,Algorithm/Version2CreateSchedule.cs
BR-027,Ưu tiên gán phòng,"Ưu tiên phòng tòa 'G'; gán theo từng nhóm và từng buổi (A/P) từ hai pool phòng riêng.",Phân bổ phòng đơn giản–quyết định,Algorithm/Version2CreateSchedule.cs
BR-028,Ưu tiên nhóm,"Nhóm có Major chứa 'BIT' hoặc 'BBA' được gán phòng trước.",Ưu tiên cho một số ngành,Algorithm/Version2CreateSchedule.cs
BR-029,Sinh nhiều tuần,"Nhân bản từ tuần đầu tới tuần cuối (10); Date += (weekIndex-1)*7; ánh xạ SessionNo: nếu 2→2*weeks, ngược lại→(2*weeks-1).",Triển khai lịch đa tuần nhất quán,Algorithm/Version2CreateSchedule.cs
BR-030,Lọc theo ROOM,"Trong chế độ ROOM chỉ hiển thị lịch có StatusSlot == 'OFF'.",Tập trung vào chiếm dụng phòng offline,ViewModel/CreateScheduleViewModel.cs
BR-031,Thông báo xuất Excel,"Sau khi xuất thành công, hiển thị thông báo thành công qua NotificationService.",Phản hồi rõ ràng cho người dùng,ServiceRefactor/ScheduleServices/ScheduleServices.cs
BR-032,Thanh tiến trình,"Hiển thị tiến trình khi xóa hết và tạo lịch; cập nhật qua IProgress<int>.",UX mượt cho tác vụ dài,ViewModel/CreateScheduleViewModel.cs
BR-033,Ghi log sinh lịch,"Ghi tổng số xung đột, số đơn vị chưa xếp, phần trăm hoàn thành từ lõi lập lịch.",Minh bạch quá trình,Algorithm/Version2CreateSchedule.cs
BR-034,Giải quyết đường dẫn DB,"Xác định base project bằng cách đi lên từ thư mục bin (..\\..\\..\\) kèm đường dẫn dự phòng.",Chạy ổn định giữa môi trường dev/publish,Data/DataContext.cs & App.xaml.cs
BR-035,Sử dụng thông báo,"Dùng NotificationService để hiển thị success/info/warning/error cho thao tác người dùng.",Thông điệp nhất quán,ServiceRefactor/* & ViewModel

